,text,target
0,"Хотелось бы более качественную уборку и возможность покушать в кафе, нет возможности оплатить проживание по карте",0
1,"В номере почему-то пахло плесенью, номер требует ремонта,, у дверей в ванную  снизу отслаивается мебельная пленка, обнаружили таракана, нет небольшого освещения в комнате, только одна люстра, которая слишком ярко светит, иногда это неудобно.",0
2,"Расположение прекрасное, чистота, красивый дизайн, вежливый персонал. Всё отлично. Теперь только Винтерфелл!",1
3,"Несоответствие между тем, что указано на сайте и действительностью. Нигде не указано, что кровать чердачного типа. Забраться туда ещё ладно, а вот слезать обратно - треш. Знала бы, даже не стала рассматривать такой вариант, так как мне физически сложно. На сайте указано наличие кондиционера, что вполне логично, если нет окна. В реальности кондиционер есть в коридоре, в комнатке очень душно спать. При заезде в номере не было полотенца, обратилась к администратору, она сказала будет но позже. Вернувшись вечером увидела, что полотенца так и нет. В конце дня наконец привезли одно маленькое полотенце, а не набор полотенец, как указано на сайте. 
Нет возможности сделать горячий чай.",0
4,"Расположение рядом магазины, кафе, транспорт, персонал сервиса, бельë, кровати, санузлы, электронный ключ, Боткинская больница в двух шагах, кому надо, свой ресторан, неплохой дежурный вариант.",1
5,"Соотношение цена-качество
В стоимость номера входит хоть и скромный, но завтрак
Наличие собственной ванной комнаты",1
6,"Останавливались на 2 дня: сначала в двухместном номере с окном, потом без окна. Общее впечатление очень хорошее.) Чисто, довольно уютно. Соотношение цена-качество устроило.
Из нюансов: из-за того, что окна закрываются неплотно, немного поддувало (некритично, особенно летом, но имейте в виду).",1
7,"Ковровое покрытие в номере в ужасном состоянии, всё в подтеках. В ванной нет даже полочки, чтоб положить зубную пасту и щетку. Кран течёт со всех щелей. В туалете не развернуться, хотя и ванная очень узкая. В номере есть шкаф, но висят всего 1 плечики, хотя нас двое было. Нет москитной сетки, на 9 эт.летают комары. На улице жара, вентилятора или кондиционера тоже нет. Пружинный матрас, в бока просто впивались эти пружины.",0
8,Чисто. Отличное расположение. Для меня -необычная концепция отеля. Но переночевать пару ночей отлично,1
9,"Система заселения, к которой оказались не готовы. Стояли на крохотной площадке  подъезда с сумками и сырыми зонтами (был дождь) и оплачивали по квитанции он лайн, это и считается оплата при заселении.Мешали тем, кто спускался сверху или заходил в подьезд. Хорошо, что были одни на заселение, тк вечером видели, как несколько пар также мучались в коридоре с оплатой. Далее попали в коридор, где был наш номер, а там опять у дверей выясняем, что надо фото  паспортов и все данные внести в регистрацию и отправить и ждать, пока там где-то оператор  отработает и пришлет код на вход в номер. Пожелание- прописать процедуру сразу  на сайте, чтобы люди понимали, что их ждёт, а если вы с наличкой, то увы-новая проблема.",0
10,"Персонал очень вежливый, быстро обслужили и заселили. Попросили второе одеяло в комнату - сразу же принесли.",1
11,"Отель расположен в 5 минутах ходьбы от станций метро и МЦК, очень удобно. Очень демократичные цены. В номере есть всё необходимое - холодильник, просторный шкаф с вешалками, телевизор (я его не включала), письменный стол, кресло, зеркало. Постельное белье чистое и выглаженное. Кровать удобная.",1
12,"С утра довольно прохладно, а вот вечером вентиляция не спасала - дышать нечем. 
Мини-претензия - в душевой ОЧЕНЬ короткая шторка. В результате брызги усеивают весь пол в помещении, обувь напротив лучше не ставить.",0
13,"Цена соответствует предоставленным услугам.
Плохо,что нет в номере чайника,но есть кулер на этаже и вода в нем не всегда горячая.",0
14,"При открытых окнах немного мешает музыка (каждый день одна и та же). Были в жаркую погоду, окна выходили во двор, где много зелени и тень, что компенсировало отсутствие кондиционера, а так было бы душно в номере.",0
15,Немного твердоватый диван. Маленькие подушки. Нет утюга.,0
16,"Одеяло на двуспальной кровати одно, хоть и большое.",0
17,"Очень близко от метро,  хорошо добираться до центра, нет никаких насекомых и следов от них8, постельное белье чистое",1
18,"Хостел находится на 5 этаже без лифта), очень скрипучие и неудобные лестницы
Администратор часто отсутствует на ресепшене",0
19,"Отличное расположение-близость метро и большого количества заведений, чистота пастельного, удобство матрасов, много туалетов и душевых, наличие фенов и полотенец",1
20,-,0
21,"Показалось чуть душновато в комнате вечером, но к утру уже хорошо",0
22,"Теперь то,что бы я добавила из минусов. Нет тумбочки для вещей, нет места куда спрятать чемодан, коврика в туалете нет, очень маленький столик, Душ от туалетной зоны отделяет ступенька в пару сантиметров высотой. Поэтому когда включаешь в душе воду, много попадает за пределы. Но это все не критично.  В целом  все понравилось и все устроило.",0
23,"Понравилось все! Отель выбрали по рекомендации друзей. Чисто, уютно, без излишек. Хорошая столовая и буфет с вкусной едой и кофе, с доброжелательными работниками. Спасибо им! У мужа был Юбилей (для этого и приезжали в Москву), ему подарили фирменную кружку. Приятно.",1
24,"Мы из бывшего СССР! Поэтому обстановка порадовала! Номер маленький ,уютный,теплый! Постель белоснежная! Чистота в номере. Ночь без шума и гама!
Админы девушки спокойные,доброжелательные!
Всё очень понравилось!
Единственное нехватает микроволновки! 
Хотелось бы утром тёплый завтрак",1
25,"До метро ВДНХ 5 минут неспешным шагом, тихое место, есть столовая внутри, бесплатная камера хранения. 
Супермаркет через дорогу.
Персонал вежливый и доброжелательный.",1
26,"Very good hotel for price. Not far from metro, metro going straight to Kremlin - where is many museums.",1
27,"Шумоизоляция, вернее её отсутствие. Я слышала абсолютно каждое слово, когда мой сосед говорил по телефону (а из-за громкости его динамика я и ответы с того конца провода слышала); слышно как сосед забирается по лестнице на свой второй уровень, как он ворочается в кровати, звук открытия/закрытия его двери воспринимается как звук от двери собственного номера, из-за чего непроизвольно вздрагиваешь. Стоит отметить, что даже наушники не помогали, через них все эти звуки всё равно пробиваются.
Работа горничной (или уборщицы, я честно не знаю как правильно должность назвать) оставляет желать лучшего. В середине дня могли быть не обновлены рулоны туалетной бумаги, из-за чего приходилось возвращаться в номер и искать собственную салфеточку (такое себе удовольствие, когда приспичило). Мыло было только на общих раковинах, в душевых никакого мыла/геля для душа нет (хотя в описании на сайте заявлено). Также лично мне досталось всего одно полотенце, хотя заявлен ""набор полотенец"". Не критично, но неприятно. 
В самом номере маловато места, куда можно было бы нормально сложить вещи: есть только небольшой столик и табуретка. Почти вся одежда или лежала в сумке, или висела на нескольких крючках у входа (к слову, расположение этих крючков тоже не самое удобное).",0
28,"Отличный хостел в центре столицы!!!Чистота!персонал вежливый ,бытовые условия отличные!городской транспорт в шаговой доступности,метро,автобусырядом много уютных кафе,и не менее привлекательных магазинчиков на все случаи жизни!Рекомендую всем путешествующим гостям столицы",1
29,"Хорошая, чистая гостиница. Идеально за свои деньги подойдет тем, кому номер нужен чисто поспать. Для длительного нахождения номер тесноват. Хотя я снимал самый дешевый вариант без окон.",1
