,token,gold,pymorphy,natasha,spacy,comp_for_pymorph
0,В,ADP,ADP,ADP,ADP,ADP
1,связи,NOUN,NOUN,NOUN,NOUN,NOUN
2,с,ADP,ADP,ADP,ADP,ADP
3,волной,NOUN,NOUN,NOUN,NOUN,NOUN
4,заселения,NOUN,NOUN,NOUN,NOUN,NOUN
5,нам,PRON,PRON,PRON,PRON,PRON
6,одобрили,VERB,VERB,VERB,VERB,VERB
7,увеличение,NOUN,NOUN,NOUN,NOUN,NOUN
8,количества,NOUN,NOUN,NOUN,NOUN,NOUN
9,автобусных,ADJ,ADJ,ADJ,ADJ,ADJ
10,рейсов,NOUN,NOUN,NOUN,NOUN,NOUN
12,также,CCONJ,PART,ADV,ADV,CONJ
13,разрешили,VERB,VERB,VERB,VERB,VERB
14,оставить,VERB,VERB,VERB,VERB,VERB
15,славянки,NOUN,NOUN,NOUN,NOUN,NOUN
16,в,ADP,ADP,ADP,ADP,ADP
17,эти,DET,ADJ,DET,DET,ADJ
18,выходные,NOUN,NOUN,NOUN,NOUN,NOUN
20,Выражаем,VERB,VERB,VERB,VERB,VERB
21,благодарность,NOUN,NOUN,NOUN,NOUN,NOUN
22,Музагафарову,NOUN,NOUN,NOUN,NOUN,NOUN
23,Алику,NOUN,NOUN,NOUN,NOUN,NOUN
24,Галеевичу,NOUN,NOUN,NOUN,NOUN,NOUN
26,начальнику,NOUN,NOUN,NOUN,NOUN,NOUN
27,Управления,NOUN,NOUN,NOUN,NOUN,NOUN
28,транспортного,ADJ,ADJ,ADJ,ADJ,ADJ
29,обеспечения,NOUN,NOUN,NOUN,NOUN,NOUN
30,НИУ,NOUN,X,NOUN,NOUN,NOUN
31,ВШЭ,NOUN,NOUN,NOUN,NOUN,NOUN
33,и,CCONJ,CONJ,CCONJ,CCONJ,CONJ
34,транспортной,ADJ,ADJ,ADJ,ADJ,ADJ
35,компании,NOUN,NOUN,NOUN,NOUN,NOUN
36,за,ADP,ADP,ADP,ADP,ADP
37,оперативную,ADJ,ADJ,ADJ,ADJ,ADJ
38,помощь,NOUN,NOUN,NOUN,NOUN,NOUN
39,в,ADP,ADP,ADP,ADP,ADP
40,данном,ADJ,ADJ,ADJ,ADJ,ADJ
41,вопросе,NOUN,NOUN,NOUN,NOUN,NOUN
43,В,ADP,ADP,ADP,ADP,ADP
44,понедельник,NOUN,NOUN,NOUN,NOUN,NOUN
47,августа,NOUN,NOUN,NOUN,NOUN,NOUN
49,будет,AUX,VERB,AUX,AUX,VERB
50,действовать,VERB,VERB,VERB,VERB,VERB
51,каникулярное,ADJ,ADJ,ADJ,ADJ,ADJ
52,расписание,NOUN,NOUN,NOUN,NOUN,NOUN
54,а,CCONJ,CONJ,CCONJ,CCONJ,CONJ
55,со,ADP,ADP,ADP,ADP,ADP
56,вторника,NOUN,NOUN,NOUN,NOUN,NOUN
